NOTE  |Authors: AnDrOmEdA - ver. 1.7 Final - 27.01.2017
NOTE  |Attack: LAVALOON, 1 side, Extreme TH Attack. FORCE KING & WARDEN 
NOTE  |Troops and Spells supported: 28 Balloons,14 Minions,6 wbs,3 Rage,2 Freeze,5 Haste
NOTE  |DROP LINE FIST REDLINE POINT

      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|
SIDE  |           |           |           |           |           |           |10         |           |


      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|
MAKE  |A          |FRONT-LEFT |10         |1          |INT-EXT    |0          |5          |           |
MAKE  |B          |FRONT-RIGHT|10         |1          |INT-EXT    |0          |5          |           |
MAKE  |C          |FRONT-RIGHT|10         |2          |EXT-INT    |0          |5          |           |  
MAKE  |D          |FRONT-LEFT |10         |2          |EXT-INT    |0          |5          |           |

MAKE  |I          |FRONT-LEFT |10         |-18        |EXT-INT    |0          |0          |           |   
MAKE  |J          |FRONT-RIGHT|10         |-25        |EXT-INT    |0          |0          |           |
MAKE  |K          |FRONT-LEFT |10         |-9         |EXT-INT    |0          |0          |           |
MAKE  |L          |FRONT-LEFT |10         |-25        |EXT-INT    |0          |0          |           |
MAKE  |M          |FRONT-RIGHT|10         |-9         |EXT-INT    |0          |0          |           |
MAKE  |N          |FRONT-RIGHT|10         |-18        |EXT-INT    |0          |0          |           |

      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|
DROP  |A-B        |5          |1          |Lava       |30-50      |30-70      |100-200    |           |
DROP  |A          |1          |1          |Lava       |30-50      |30-70      |100-200    |           |
DROP  |A          |1          |1          |castle     |30-50      |30-70      |100-200    |           |
DROP  |C-D        |1-10       |4          |Ball       |30-50      |30-70      |100-200    |           |
DROP  |A-B        |1-10       |10         |Ball       |30-50      |30-70      |100-200    |           |
DROP  |A-B        |1-10       |10         |Ball       |30-50      |30-70      |100-200    |           |
DROP  |A          |1          |1          |warden     |30-50      |100        |50-100     |           | 

WAIT  |1500-2500  |           |           |           |           |           |           |           |

DROP  |A          |1          |1          |warden     |30-50      |100        |50-100     |           | 
DROP  |K          |4          |1          |HaSpell    |0          |0          |100-200    |           |
DROP  |K          |10         |1          |HaSpell    |0          |0          |100-200    |           |
DROP  |M          |5          |1          |HaSpell    |0          |0          |500-600    |           |
DROP  |A-B        |1-10       |7          |Mini       |30-50      |30-70      |100-200    |           |
DROP  |A          |10         |10         |Ball       |30-50      |30-70      |100-200    |           |

WAIT  |2500-4000  |           |           |           |           |           |           |           |

DROP  |I          |5          |1          |RSpell     |0          |0          |100-300    |           |
DROP  |I          |10         |1          |RSpell     |0          |0          |100-300    |           |
DROP  |N          |6          |1          |RSpell     |0          |0          |100-300    |           |
DROP  |A          |10         |10         |Mini       |30-50      |100        |50-100     |           | 

      |DEFENSE____|OPTIONS________|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|____________|
DROPS |EAGLE      |R:T,B:F,S:A,L:T|1          |FSpell     |0          |0          |0          |            |

WAIT  |1000-1500  |           |           |           |           |           |           |           |

      |DEFENSE____|OPTIONS________|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|____________|
DROPS |INFERNO    |R:T,B:F,S:A,L:T|1          |FSpell     |0          |0          |0          |            |

WAIT  |1000-1500  |           |           |           |           |           |           |           |

      |DEFENSE____|OPTIONS________|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|____________|
DROPS |INFERNO    |R:T,B:F,S:A,L:T|1          |FSpell     |0          |0          |0          |            |

WAIT  |2500-3500  |           |           |           |           |           |           |           |

DROP  |L          |6          |1          |HaSpell    |0          |0          |100-200    |           |
DROP  |J          |7          |1          |HaSpell    |0          |0          |100-200    |           |

WAIT  |10000-15000|           |           |           |           |           |           |           |

DROP  |A          |1          |3          |wall       |0          |0          |50-100     |           |
DROP  |A          |1          |3          |wall       |0          |0          |50-100     |           |

WAIT  |5000-7000  |           |           |           |           |           |           |           |

DROP  |A          |1          |1          |king       |30-50      |0          |50-100     |           |
DROP  |A          |1          |3          |wall       |0          |0          |600-800    |           |

WAIT  |5000-7000  |           |           |           |           |           |           |           |

DROP  |A          |1          |1          |queen      |30-50      |100        |50-100     |           | 

WAIT  |7900-9900  |           |           |           |           |           |           |           |

;DROP  |A          |1          |1          |King       |1          |100        |100-200    |           | 

WAIT  |1000-2000  |           |           |           |           |           |           |           |

DROP  |C          |1          |10         |Arch       |10-30      |100        |100-200    |           |

RECALC|           |           |           |           |           |           |           |           |recalculate remaining troops and then launch...
